RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	FamilyKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	RunID	MeanFragmentLength	breadth	coverage	expected_breadth	expected_breadth_prop
Cap.E.7138	2461920	2420870	1242213	176	0.0001856	19.1	f	1169	Rodentia	Muridae	Rattus_norvegicus	best	753	0.6441	33	22.8181	415	33	415	3.0	-	3	10	40.0 (5.3,85.3)	33.3 (0.8,90.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.025046774096203754	0.07966684772768423	0.06792857087715454	0.368722229435676
Cap.E.7138	2461920	2420870	1242213	190	0.004113	97.1	f	2667	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	2648	0.9928	62	42.7096	1040	62	1040	5.65	++	20	23	80.0 (56.3,94.3)	41.7 (15.2,72.3)	100.0 (2.5,100.0)	25.0 (0.6,80.6)	190312_D00829_0232.lane2	40	0.06276781942181182	0.1496771078520128	0.12380348957432319	0.5069955591528807
Cap.E.7138	2461920	2420870	1242213	201	0.0003391	121.0	f	3993	Rodentia	Cricetidae	Ondatra_zibethicus	best	2318	0.5805	58	39.9655	475	58	475	5.28	+	7	17	57.1 (18.4,90.1)	30.0 (6.7,65.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.02866799444746213	0.14002052024865713	0.11630042322272738	0.2464994851528609
Cap.E.7138	2461920	2420870	1242213	208	0.004454	60.7	f	918	Perissodactyla	Equidae	Equus_ovodovi	best	913	0.9945	22	41.5	921	22	921	2.0	+	4	6	42.9 (9.9,81.6)	14.3 (0.4,57.9)	N/A (N/A,N/A)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.055585732391816044	0.05311123181845615	0.04581453406863911	1.2132772606295148
Cap.E.7138	2461920	2420870	1242213	210	0.0003753	12.4	f	945	Rodentia	Sciuridae	Dremomys_rufigenis	best	36	0.038	24	1.5	532	23	496	2.09	++	9	10	60.0 (14.7,94.7)	75.0 (34.9,96.8)	N/A (N/A,N/A)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.03210815378115758	0.057939525620133984	0.04987393303434273	0.6437862792783597
Cap.E.7138	2461920	2420870	1242213	225	0.001778	202.0	f	9006	Carnivora	Canidae	Canis_lupus	best	8827	0.9801	141	62.6028	979	138	933	12.57	++	42	66	77.1 (59.9,89.6)	48.6 (31.9,65.6)	100.0 (29.2,100.0)	50.0 (11.8,88.2)	190312_D00829_0232.lane2	40	0.05908624539803247	0.34039471301828716	0.2596028381790263	0.22760246310283266
Cap.E.7138	2461920	2420870	1242213	420	0.002089	99.9	f	7526	Carnivora	Felidae	Panthera_leo	best	6628	0.8806	159	41.6855	1755	134	1713	12.21	++	31	41	66.7 (43.0,85.4)	51.4 (34.0,68.6)	50.0 (1.3,98.7)	33.3 (0.8,90.6)	190312_D00829_0232.lane2	40	0.10592069527430745	0.38384935723338764	0.2874740756417785	0.3684530336790968
Cap.E.7138	2461920	2420870	1242213	447	0.000847	28.4	f	2242	Primates	Cercopithecidae	Trachypithecus_poliocephalus	best	227	0.1012	19	11.9473	536	19	536	1.73	++	5	6	60.0 (14.7,94.7)	50.0 (11.8,88.2)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	190312_D00829_0232.lane2	40	0.03234956847124147	0.0458687911159394	0.03969289300194445	0.8149964899171434
Cap.E.7138	2461920	2420870	1242213	5603	0.07871	336.0	f	97296	Primates	Hominidae	Homo_sapiens	fixed	81216	0.8347	561	144.77	9746	-	-	51.13	-	9	18	1.6 (0.2,5.7)	4.4 (1.8,8.9)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.5882068923894019	1.354336411370632	0.6975620211840999	0.8432323930005973
Cap.E.7139	2988737	2939132	1541328	155	0.0005882	67.0	f	1857	Carnivora	Mustelidae	Ictonyx_striatus	best	234	0.126	11	21.2727	310	9	269	0.78	-	1	3	0.0 (0.0,70.8)	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.0187096384815016	0.026555615909228076	0.023175826501329433	0.8072911005106274
