IndexLibID,SampleID,Ancient,H_support_deam,Deaminated(term3),variable,value,Site,support,sizes,sig,Significance,h_sizes,h_sig,h_Significance,h_support,Fragments,Support,Group
D5204,SP3876,++,20.0% (2 / 10),120,Neanderthal,^^^56.1% (23 / 41),"Denisova Cave, Russia",56,23,^^^,^^^,2,-,-,20,23,56,Neanderthal
D5205,SP3876,++,0.0% (0 / 8),135,Neanderthal,^^^60.5% (23 / 38),"Denisova Cave, Russia",60,23,^^^,^^^,0,-,-,0,23,60,Neanderthal
D5201,SP3876,++,0.0% (0 / 18),234,Neanderthal,^^^57.6% (38 / 66),"Denisova Cave, Russia",57,38,^^^,^^^,0,-,-,0,38,57,Neanderthal
R9947,SP3834,++,0.0% (0 / 14),310,Neanderthal,^^^64.6% (51 / 79),"Denisova Cave, Russia",64,51,^^^,^^^,0,-,-,0,51,64,Neanderthal
D5227,SP3834,++,12.5% (3 / 24),421,Neanderthal,^^^95.5% (85 / 89),"Denisova Cave, Russia",95,85,^^^,^^^,3,-,-,12,85,95,Neanderthal
R8506,SP3828,++,NA% (0 / 0),44,Neanderthal,^^^57.1% (4 / 7),"Denisova Cave, Russia",57,4,^^^,^^^,0,-,-,0,4,57,Neanderthal
D5206,SP3876,++,0.0% (0 / 10),244,Neanderthal,^^^48.2% (40 / 83),"Denisova Cave, Russia",48,40,^^^,^^^,0,-,-,0,40,48,Neanderthal
D5207,SP3876,++,0.0% (0 / 13),147,Neanderthal,^^^63.3% (19 / 30),"Denisova Cave, Russia",63,19,^^^,^^^,0,-,-,0,19,63,Neanderthal
L5763,SP3833,++,20.0% (1 / 5),76,Neanderthal,^^^100.0% (12 / 12),"Denisova Cave, Russia",100,12,^^^,^^^,1,-,-,20,12,100,Neanderthal
R5603,SP3876,++,0.0% (0 / 4),52,Neanderthal,^^^40.0% (6 / 15),"Denisova Cave, Russia",40,6,^^^,^^^,0,-,-,0,6,40,Neanderthal
A2424,SP2921,++,0.0% (0 / 1),22,Neanderthal,^^^80.0% (4 / 5),"Denisova Cave, Russia",80,4,^^^,^^^,0,-,-,0,4,80,Neanderthal
A2423,SP2920,++,0.0% (0 / 2),49,Neanderthal,^^^100.0% (3 / 3),"Denisova Cave, Russia",100,3,^^^,^^^,0,-,-,0,3,100,Neanderthal
A2424,SP2921,++,0.0% (0 / 3),39,Neanderthal,^^^87.5% (7 / 8),"Denisova Cave, Russia",87,7,^^^,^^^,0,-,-,0,7,87,Neanderthal
D5215,SP3833,++,7.1% (1 / 14),217,Neanderthal,^^^91.7% (33 / 36),"Denisova Cave, Russia",91,33,^^^,^^^,1,-,-,7,33,91,Neanderthal
D5216,SP3833,++,0.0% (0 / 12),165,Neanderthal,^^^64.3% (18 / 28),"Denisova Cave, Russia",64,18,^^^,^^^,0,-,-,0,18,64,Neanderthal
D5217,SP3833,++,0.0% (0 / 14),217,Neanderthal,^^^75.0% (15 / 20),"Denisova Cave, Russia",75,15,^^^,^^^,0,-,-,0,15,75,Neanderthal
D5218,SP3833,++,0.0% (0 / 11),201,Neanderthal,^^^80.0% (16 / 20),"Denisova Cave, Russia",80,16,^^^,^^^,0,-,-,0,16,80,Neanderthal
A2423,SP2920,++,0.0% (0 / 8),150,Neanderthal,^^^100.0% (8 / 8),"Denisova Cave, Russia",100,8,^^^,^^^,0,-,-,0,8,100,Neanderthal
D5276,SP3832,++,6.1% (13 / 212),2316,Neanderthal,^^^98.7% (466 / 472),"Denisova Cave, Russia",98,466,^^^,^^^,13,-,-,6,466,98,Neanderthal
D5283,SP3854,++,0.0% (0 / 5),74,Denisova,^^^58.3% (14 / 24),"Denisova Cave, Russia",58,14,^^^,^^^,0,-,-,0,14,58,Denisova
D5276,SP3832,++,6.1% (13 / 212),2316,Neanderthal,^^^99.2% (380 / 383),"Denisova Cave, Russia",99,380,^^^,^^^,13,-,-,6,380,99,Neanderthal
D5203,SP3876,++,0.0% (0 / 16),240,Neanderthal,^^^58.0% (40 / 69),"Denisova Cave, Russia",58,40,^^^,^^^,0,-,-,0,40,58,Neanderthal
R5601,SP3874,++,0.0% (0 / 1),80,Neanderthal,^^^80.0% (4 / 5),"Denisova Cave, Russia",80,4,^^^,^^^,0,-,-,0,4,80,Neanderthal
D5277,SP3832,++,0.0% (0 / 3),44,Neanderthal,^^^80.0% (4 / 5),"Denisova Cave, Russia",80,4,^^^,^^^,0,-,-,0,4,80,Neanderthal
R9946,SP3833,++,5.0% (1 / 20),263,Neanderthal,^^^90.3% (28 / 31),"Denisova Cave, Russia",90,28,^^^,^^^,1,-,-,5,28,90,Neanderthal
D5275,SP3832,++,NA% (0 / 0),35,Neanderthal,^^^50.0% (4 / 8),"Denisova Cave, Russia",50,4,^^^,^^^,0,-,-,0,4,50,Neanderthal
L5760,SP3833,++,0.0% (0 / 9),108,Neanderthal,^^^24.5% (12 / 49),"Denisova Cave, Russia",24,12,^^^,^^^,0,-,-,0,12,24,Neanderthal
D5276,SP3832,++,4.1% (66 / 1591),20278,Neanderthal,^^^98.3% (3868 / 3934),"Denisova Cave, Russia",98,3868,^^^,^^^,66,-,-,4,3868,98,Neanderthal
D5219,SP3833,++,0.0% (0 / 13),219,Neanderthal,^^^89.2% (33 / 37),"Denisova Cave, Russia",89,33,^^^,^^^,0,-,-,0,33,89,Neanderthal
D5222,SP3834,++,^25.0% (6 / 24),412,Neanderthal,^^^92.9% (65 / 70),"Denisova Cave, Russia",92,65,^^^,^^^,6,^,^,25,65,92,Neanderthal
D5225,SP3834,++,2.6% (1 / 38),492,Neanderthal,^^^97.2% (70 / 72),"Denisova Cave, Russia",97,70,^^^,^^^,1,-,-,2,70,97,Neanderthal
D5226,SP3834,++,6.5% (2 / 31),468,Neanderthal,^^^92.3% (60 / 65),"Denisova Cave, Russia",92,60,^^^,^^^,2,-,-,6,60,92,Neanderthal
D5227,SP3834,++,12.5% (3 / 24),421,Neanderthal,^^^93.9% (62 / 66),"Denisova Cave, Russia",93,62,^^^,^^^,3,-,-,12,62,93,Neanderthal
D5228,SP3834,++,4.3% (1 / 23),377,Neanderthal,^^^96.6% (57 / 59),"Denisova Cave, Russia",96,57,^^^,^^^,1,-,-,4,57,96,Neanderthal
D5229,SP3834,++,3.8% (1 / 26),465,Neanderthal,^^^96.7% (58 / 60),"Denisova Cave, Russia",96,58,^^^,^^^,1,-,-,3,58,96,Neanderthal
D5230,SP3834,++,0.0% (0 / 28),460,Neanderthal,^^^96.8% (61 / 63),"Denisova Cave, Russia",96,61,^^^,^^^,0,-,-,0,61,96,Neanderthal
D5237,SP3834,++,0.0% (0 / 38),651,Neanderthal,^^^95.6% (109 / 114),"Denisova Cave, Russia",95,109,^^^,^^^,0,-,-,0,109,95,Neanderthal
D5238,SP3834,++,0.0% (0 / 18),208,Neanderthal,^^^87.1% (27 / 31),"Denisova Cave, Russia",87,27,^^^,^^^,0,-,-,0,27,87,Neanderthal
D5239,SP3834,++,5.0% (1 / 20),299,Neanderthal,^^^86.3% (44 / 51),"Denisova Cave, Russia",86,44,^^^,^^^,1,-,-,5,44,86,Neanderthal
L5763,SP3833,++,20.0% (1 / 5),76,Neanderthal,^^^88.9% (16 / 18),"Denisova Cave, Russia",88,16,^^^,^^^,1,-,-,20,16,88,Neanderthal
