Summary table of all sediment samples,,,,,,,,,,,,,,,,,
Data source refers to the step in the screening of samples,,,,,,,,,,,,,,,,,
Controls are identified in SampleID column: ENC=Extraction Negative Control; LNC=Library Negataive Control,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Source,Chamber (Section),Library PlateID,Layer,MPI-EVA sample ID,Field sampleID,Sub-sample/lysate ID,Input for DNA extraction (mg),Extract ID,Number of molecules in library,Control oligo copies in library,Indexed library ID,Captured library ID - mammalian mtDNA,ENA Accession ID,Ancient mammalian mtDNA present,Captured library ID - human mtDNA,ENA Accession ID,Ancient hominin mtDNA present
First Screen,South SE_lower,Pl_262,dMP,SP7270,S146 ,Lys2775,74.5,E13142,1.38E+11,6.86E+05,M5892,B21193,ERS6160033,Yes,B27488,ERS6161422; ERS6161671,No
First Screen,,Pl_264,, LNC,,,,,1.73E+08,9.30E+05,M5991,B22756,ERS6160034,No,B22683,ERS6161423,No
First Screen,,Pl_264,, ENC,,,,E13239,2.07E+08,1.32E+06,M5993,B22757,ERS6160035,No,B22684,ERS6161424,No
First Screen,South SE_lower,Pl_264,dMP,SP7271,S147 ,Lys2776,77.5,E13241,2.57E+11,9.42E+05,M5995,B22758,ERS6160036,Yes,B22685,ERS6161425,Yes
First Screen,South SE_lower,Pl_264,dMP,SP7272,S148 ,Lys2777,81.1,E13242,3.40E+11,9.22E+05,M5996,B22759,ERS6160037,Yes,B22686,ERS6161426,No
First Screen,South SE_lower,Pl_264,dMP,SP7273,S149 ,Lys2778,57,E13243,3.36E+11,9.12E+05,M5997,B22760,ERS6160038,Yes,B22687,ERS6161427,No
First Screen,,Pl_264,,ENC,,,,E13244,1.71E+08,1.23E+06,M5998,B22761,ERS6160039,No,B22688,ERS6161428,No
First Screen,South SE_lower,Pl_264,dMP,SP7274,S150 ,Lys2780,93.7,E13245,4.59E+11,8.15E+05,M5999,B22762,ERS6160040,Yes,B22691,ERS6161429,No
First Screen,South SE_lower,Pl_264,dMP,SP7275,S151 ,Lys2781,149,E13246,1.24E+11,8.07E+05,M6000,B22763,ERS6160041,Yes,B22692,ERS6161430,Yes
First Screen,South SE_lower,Pl_264,dMP,SP7276,S152 ,Lys2782,57.5,E13247,7.70E+10,8.84E+05,M6001,B22764,ERS6160042,Yes,B22693,ERS6161431,No
First Screen,South SE_lower,Pl_264,dMP,SP7277,S153 ,Lys2783,61.7,E13248,2.82E+11,1.22E+06,M6002,B22765,ERS6160043,Yes,B22694,ERS6161432,No
First Screen,South SE_lower,Pl_264,dMP,SP7278,S154 ,Lys2784,94,E13249,2.63E+11,9.55E+05,M6003,B22766,ERS6160044,Yes,B22695,ERS6161433,No
First Screen,South SE_lower,Pl_264,dMP,SP7279,S155 ,Lys2785,71.7,E13250,4.28E+11,8.13E+05,M6004,B22767,ERS6160045,Yes,B22696,ERS6161434,No
First Screen,South SE_lower,Pl_264,dMP,SP7280,S156 ,Lys2786,83.6,E13251,3.51E+11,8.84E+05,M6005,B22768,ERS6160046,Yes,B22697,ERS6161435,No
First Screen,South SE_lower,Pl_264,dMP,SP7281,S157 ,Lys2787,62,E13252,3.65E+10,8.81E+05,M6006,B22769,ERS6160047,Yes,B22698,ERS6161436,No
First Screen,South SE_lower,Pl_264,dMP,SP7282,S158 ,Lys2788,93,E13253,1.38E+11,7.80E+05,M6007,B22770,ERS6160048,Yes,B22699,ERS6161437,No
First Screen,South SE_lower,Pl_264,dMP,SP7283,S159 ,Lys2789,53.3,E13254,7.92E+10,8.36E+05,M6008,B22771,ERS6160049,Yes,B22700,ERS6161438,No
First Screen,South SE_lower,Pl_264,dMP,SP7284,S160 ,Lys2790,84.8,E13255,5.99E+11,8.82E+05,M6009,B22772,ERS6160050,Yes,B22701,ERS6161439,No
First Screen,South SE_lower,Pl_264,dMP,SP7285,S161 ,Lys2791,54.5,E13256,1.40E+11,9.71E+05,M6010,B22773,ERS6160051,Yes,B22702,ERS6161440,No
First Screen,South SE_lower,Pl_264,dMP,SP7286,S162 ,Lys2792,83,E13257,7.64E+10,8.07E+05,M6011,B22774,ERS6160052,Yes,B22703,ERS6161441,No
First Screen,South SE_lower,Pl_264,22,SP7287,S163 ,Lys2793,70,E13258,6.43E+09,1.08E+06,M6012,B22775,ERS6160053,Yes,B22704,ERS6161442,No
First Screen,South SE_lower,Pl_264,22,SP7288,S164 ,Lys2794,44.5,E13259,4.58E+09,9.69E+05,M6013,B22776,ERS6160054,Yes,B22705,ERS6161443,No
First Screen,South SE_lower,Pl_264,22,SP7289,S165 ,Lys2795,77,E13260,9.79E+09,1.17E+06,M6014,B22777,ERS6160055,Yes,B22706,ERS6161444,No
First Screen,,Pl_264,, LNC,,,,,1.55E+08,9.30E+05,M6015,B22778,ERS6160056,No,B22707,ERS6161445,No
First Screen,,Pl_264,, ENC,,,,E13261,1.84E+08,1.13E+06,M6017,B22779,ERS6160057,No,B22708,ERS6161446,No
First Screen,South SE_lower,Pl_264,22,SP7290,S166 ,Lys2796,78,E13263,9.63E+09,1.16E+06,M6020,B22780,ERS6160058,Yes,B22709,ERS6161447,No
First Screen,,Pl_264,,ENC,,,,E13264,1.61E+08,9.11E+05,M6021,B22781,ERS6160059,No,B22710,ERS6161448,No
First Screen,South SE_lower,Pl_264,22,SP7291,S167 ,Lys2798,68.3,E13265,4.07E+10,1.31E+06,M6022,B22782,ERS6160060,Yes,B22711,ERS6161449,No
First Screen,South SE_lower,Pl_264,dMP,SP7292,S168 ,Lys2799,60.7,E13266,1.02E+11,8.71E+05,M6023,B22783,ERS6160061,Yes,B22712,ERS6161450,No
First Screen,South SE_lower,Pl_264,dMP,SP7293,S169 ,Lys2800,55,E13267,1.19E+11,8.26E+05,M6024,B22784,ERS6160062,Yes,B22713,ERS6161451,No
First Screen,South SE_lower,Pl_264,22,SP7294,S170 ,Lys2801,53.8,E13268,6.22E+10,1.19E+06,M6025,B22787,ERS6160063,Yes,B22714,ERS6161452,No
First Screen,South SE_lower,Pl_264,22,SP7295,S171 ,Lys2802,58.7,E13269,2.02E+10,1.12E+06,M6026,B22788,ERS6160064,Yes,B22715,ERS6161453,No
First Screen,South SE_lower,Pl_264,22,SP7296,S172 ,Lys2803,61.1,E13270,2.50E+10,1.13E+06,M6027,B22789,ERS6160065,Yes,B22716,ERS6161454,No
First Screen,South SE_lower,Pl_264,22,SP7297,S173 ,Lys2804,74.1,E13271,4.11E+10,1.22E+06,M6028,B22790,ERS6160066,Yes,B22717,ERS6161455,No
First Screen,South SE_lower,Pl_264,22,SP7298,S174 ,Lys2805,55.3,E13272,1.97E+10,9.93E+05,M6029,B22791,ERS6160067,Yes,B22720,ERS6161456,No
First Screen,South SE_lower,Pl_264,dMP,SP7299,S175 ,Lys2806,87,E13273,1.65E+11,7.99E+05,M6030,B22792,ERS6160068,Yes,B22721,ERS6161457,Yes
First Screen,South SE_lower,Pl_264,dMP,SP7300,S176 ,Lys2807,84.1,E13274,1.51E+11,7.87E+05,M6031,B22793,ERS6160069,Yes,B22722,ERS6161458,No
First Screen,South SE_lower,Pl_264,22,SP7301,S177 ,Lys2808,66.15,E13275,3.41E+10,8.87E+05,M6032,B22794,ERS6160070,Yes,B22723,ERS6161459,No
First Screen,South SE_lower,Pl_264,22,SP7302,S178 ,Lys2809,49.6,E13276,1.11E+10,1.21E+06,M6033,B22795,ERS6160071,Yes,B22724,ERS6161460,No
First Screen,South SE_lower,Pl_264,22,SP7303,S179 ,Lys2810,52.1,E13277,4.27E+09,1.00E+06,M6034,B22796,ERS6160072,Yes,B22725,ERS6161461,No
First Screen,South SE_lower,Pl_264,22,SP7304,S180 ,Lys2811,58.8,E13278,1.83E+09,1.12E+06,M6035,B22797,ERS6160073,No,B22726,ERS6161462,No
First Screen,South SE_lower,Pl_264,22,SP7305,S181 ,Lys2812,61.3,E13279,1.67E+09,1.04E+06,M6036,B22798,ERS6160074,No,B22727,ERS6161463,No
First Screen,South SE_lower,Pl_264,dMP,SP7306,S182 ,Lys2813,53.2,E13280,1.02E+11,7.30E+05,M6037,B22799,ERS6160075,Yes,B22728,ERS6161464,Yes
First Screen,South SE_lower,Pl_264,dMP,SP7307,S183 ,Lys2814,58,E13281,1.17E+11,7.74E+05,M6038,B22800,ERS6160076,Yes,B22729,ERS6161465,No
First Screen,,Pl_264,, LNC,,,,,1.31E+08,1.09E+06,M6039,B22801,ERS6160077,No,B22730,ERS6161466,No
First Screen,,Pl_264,, ENC,,,,E13282,1.86E+08,1.07E+06,M6041,B22802,ERS6160078,No,B22731,ERS6161467,No
First Screen,,Pl_264,,ENC,,,,E13284,1.53E+08,8.19E+05,M6043,B22803,ERS6160079,No,B22732,ERS6161468,No
First Screen,South SE_lower,Pl_264,dMP,SP7308,S184 ,Lys2816,82.5,E13285,1.27E+11,1.10E+06,M6044,B22804,ERS6160080,Yes,B22733,ERS6161469,No
First Screen,South SE_lower,Pl_264,22,SP7309,S185 ,Lys2817,49,E13286,1.57E+10,1.06E+06,M6045,B22805,ERS6160081,Yes,B22734,ERS6161470,No
First Screen,South SE_lower,Pl_264,22,SP7310,S186 ,Lys2818,45.3,E13287,1.55E+10,1.01E+06,M6046,B22806,ERS6160082,Yes,B22735,ERS6161471,No
First Screen,South SE_lower,Pl_264,22,SP7311,S187 ,Lys2819,70.3,E13288,4.69E+09,8.91E+05,M6047,B22807,ERS6160083,Yes,B22736,ERS6161472,No
First Screen,South SE_lower,Pl_264,22,SP7312,S188 ,Lys2820,61.8,E13289,1.82E+09,7.49E+05,M6048,B22808,ERS6160084,No,B22737,ERS6161473,No
First Screen,South SE_lower,Pl_264,dMP,SP7313,S189 ,Lys2821,67.8,E13290,1.45E+11,7.72E+05,M6049,B22809,ERS6160085,Yes,B22738,ERS6161474,No
First Screen,South SE_lower,Pl_264,dMP,SP7314,S190 ,Lys2822,93.8,E13291,1.68E+11,1.16E+06,M6050,B22810,ERS6160086,Yes,B22739,ERS6161475,No
First Screen,South SE_lower,Pl_264,dMP,SP7315,S191 ,Lys2823,58.2,E13292,1.39E+11,1.01E+06,M6051,B22811,ERS6160087,Yes,B22740,ERS6161476,No
First Screen,South SE_lower,Pl_264,22,SP7316,S192 ,Lys2824,63.2,E13293,2.51E+10,1.02E+06,M6052,B22812,ERS6160088,Yes,B22741,ERS6161477,No
First Screen,South SE_lower,Pl_264,22,SP7317,S193 ,Lys2825,40.4,E13294,1.62E+10,9.94E+05,M6053,B22813,ERS6160089,Yes,B22742,ERS6161478,No
First Screen,South SE_lower,Pl_264,22,SP7318,S194 ,Lys2826,49.1,E13295,2.23E+10,1.03E+06,M6054,B22816,ERS6160090,Yes,B22743,ERS6161479,No
First Screen,South SE_lower,Pl_264,22,SP7319,S195 ,Lys2827,57.6,E13296,1.50E+09,7.49E+05,M6055,B22817,ERS6160091,No,B22744,ERS6161480,No
First Screen,South SE_lower,Pl_264,dMP,SP7320,S196 ,Lys2828,66.7,E13297,1.33E+11,9.56E+05,M6056,B22818,ERS6160092,Yes,B22745,ERS6161481,No
First Screen,South SE_lower,Pl_264,dMP,SP7321,S197 ,Lys2829,58.9,E13298,1.37E+11,7.14E+05,M6057,B22819,ERS6160093,Yes,B22746,ERS6161482,No
First Screen,,Pl_264,,ENC,,,,E13299,1.64E+08,9.43E+05,M6058,B22820,ERS6160094,No,B22747,ERS6161483,No
First Screen,South SE_lower,Pl_264,dMP,SP7322,S198 ,Lys2831,58.1,E13300,1.30E+11,8.12E+05,M6059,B22821,ERS6160095,Yes,B22748,ERS6161484,No
First Screen,South SE_lower,Pl_264,dMP,SP7323,S199 ,Lys2832,63.6,E13301,1.58E+11,1.07E+06,M6060,B22822,ERS6160096,Yes,B22749,ERS6161485,Yes
First Screen,South SE_lower,Pl_264,dMP,SP7324,S200 ,Lys2833,72.15,E13302,1.55E+11,8.95E+05,M6061,B22823,ERS6160097,Yes,B22750,ERS6161486,No
First Screen,South SE_lower,Pl_264,22,SP7325,S201 ,Lys2834,55.2,E13303,3.53E+10,8.27E+09,M6062,B22824,ERS6160098,Yes,B22751,ERS6161487,No
First Screen,,Pl_264,, LNC,,,,,1.42E+08,9.98E+05,M6063,B22825,ERS6160099,No,B22752,ERS6161488,No
First Screen,,Pl_264,, ENC,,,,E13304,1.69E+08,1.21E+06,M6065,B22826,ERS6160100,No,B22753,ERS6161489,No
First Screen,South SE_lower,Pl_264,22,SP7326,S202 ,Lys2835,57,E13306,1.92E+09,1.12E+06,M6068,B22827,ERS6160101,No,B22754,ERS6161490,No
First Screen,,Pl_264,,ENC,,,,E13307,1.25E+08,7.81E+05,M6069,B22828,ERS6160102,No,B22755,ERS6161491,No
First Screen,Main ,Pl_288,22.1 up,SP6813,M159 ,LYS647,47.8,E14082,9.61E+09,7.51E+05,A20514,B26609,ERS6160103,Yes,B26516,ERS6160413,No
First Screen,Main ,Pl_288,21,SP6814,M160 ,LYS648,65.2,E14083,5.10E+09,2.93E+04,A20515,B26610,ERS6160104,Yes,B26517,ERS6160414,Yes
First Screen,Main ,Pl_288,20,SP6815,M161 ,LYS649,39,E14084,1.02E+10,3.55E+05,A20516,B26611,ERS6160105,Yes,B26518,ERS6160415,No
First Screen,Main ,Pl_288,20,SP6816,M162 ,LYS650,70.6,E14085,1.83E+10,2.96E+05,A20517,B26612,ERS6160106,Yes,B26519,ERS6160416,Yes
First Screen,Main ,Pl_288,20,SP6817,M163 ,LYS651,74.5,E14086,2.05E+10,5.41E+05,A20518,B26613,ERS6160107,Yes,B26520,ERS6160417,Yes
First Screen,Main ,Pl_288,20,SP6818,M164 ,LYS652,72.5,E14087,3.98E+10,3.90E+05,A20519,B26614,ERS6160108,Yes,B26521,ERS6160418,No
First Screen,Main ,Pl_288,22.1 up,SP6819,M165 ,LYS653,50.4,E14088,1.16E+10,7.20E+05,A20520,B26615,ERS6160109,Yes,B26522,ERS6160419,No
First Screen,Main ,Pl_288,20,SP6820,M166 ,LYS654,72.9,E14089,3.18E+10,2.80E+05,A20521,B26616,ERS6160110,Yes,B26523,ERS6160420,Yes
First Screen,Main ,Pl_288,20,SP6821,M167 ,LYS655,49.65,E14090,4.07E+10,3.65E+05,A20522,B26619,ERS6160111,Yes,B26524,ERS6160421,Yes
First Screen,,Pl_288,,ENC,,,,E14091,9.64E+07,1.24E+06,A20523,B26620,ERS6160112,No,B26525,ERS6160422,No
First Screen,,Pl_288,,ENC,,,,E14092,8.01E+07,1.09E+06,A20524,B26621,ERS6160113,No,B26526,ERS6160423,No
First Screen,,Pl_288,,ENC,,,,E14093,6.99E+07,1.02E+06,A20525,B26622,ERS6160114,No,B26527,ERS6160424,No
First Screen,,Pl_288,,ENC,,,,E14094,7.96E+07,1.10E+06,A20526,B26623,ERS6160115,No,B26528,ERS6160425,No
First Screen,Main ,Pl_288,20,SP6822,M168 ,LYS656,51.35,E14095,2.37E+10,2.40E+05,A20527,B26624,ERS6160116,Yes,B26531,ERS6160426,Yes
First Screen,Main ,Pl_288,20,SP6823,M169 ,LYS657,40.55,E14096,9.55E+09,1.30E+04,A20528,B26625,ERS6160117,Yes,B26532,ERS6160427,No
First Screen,Main ,Pl_288,22.1 up,SP6824,M170 ,LYS658,49.3,E14097,1.06E+10,1.19E+06,A20529,B26626,ERS6160118,Yes,B26533,ERS6160428,No
First Screen,Main ,Pl_288,20,SP6825,M171 ,LYS659,73.7,E14098,1.20E+10,2.87E+05,A20530,B26627,ERS6160119,Yes,B26534,ERS6160429,Yes
First Screen,Main ,Pl_288,20,SP6826,M172 ,LYS660,40.7,E14099,5.58E+09,6.62E+05,A20531,B26628,ERS6160120,Yes,B26535,ERS6160430,No
First Screen,Main ,Pl_288,20,SP6827,M173 ,LYS661,52.3,E14100,1.29E+11,6.60E+05,A20532,B26629,ERS6160121,Yes,B26536,ERS6160431,No
First Screen,Main ,Pl_288,20,SP6828,M174 ,LYS662,70.6,E14101,7.23E+10,2.76E+05,A20533,B26630,ERS6160122,Yes,B26537,ERS6160432,Yes
First Screen,,Pl_288,,LNC,,,,,6.59E+07,9.05E+05,A20535,B26631,ERS6160123,No,B26538,ERS6160433,No
First Screen,Main ,Pl_288,22.1 up,SP6829,M175 ,LYS663,75.5,E14103,2.19E+10,1.18E+06,A20538,B26632,ERS6160124,Yes,B26539,ERS6160434,No
First Screen,Main ,Pl_288,21,SP6830,M176 ,LYS664,68.8,E14104,1.51E+10,5.05E+05,A20539,B26633,ERS6160125,Yes,B26540,ERS6160435,No
First Screen,Main ,Pl_288,20,SP6831,M177 ,LYS665,45.3,E14105,1.79E+10,8.02E+05,A20540,B26634,ERS6160126,Yes,B26541,ERS6160436,No
First Screen,Main ,Pl_288,20,SP6832,M178 ,LYS666,69.4,E14106,1.03E+11,5.68E+05,A20541,B26635,ERS6160127,Yes,B26542,ERS6160437,No
First Screen,Main ,Pl_288,20,SP6833,M179 ,LYS667,59.8,E14107,2.89E+10,6.77E+05,A20542,B26636,ERS6160128,Yes,B26543,ERS6160438,No
First Screen,Main ,Pl_288,14,SP6834,M180 ,LYS668,0,E14108,1.40E+11,8.59E+05,A20543,B26637,ERS6160129,Yes,B26544,ERS6160439;ERS6161673,Yes
First Screen,Main ,Pl_288,14,SP6835,M181 ,LYS669,70.6,E14109,8.70E+10,8.48E+05,A20544,B26638,ERS6160130,Yes,B26545,ERS6160440,Yes
First Screen,Main ,Pl_288,14,SP6836,M182 ,LYS670,50.05,E14110,4.16E+11,8.15E+05,A20545,B26639,ERS6160131,Yes,B26546,ERS6160441;ERS6161674,No
First Screen,Main ,Pl_288,12.2,SP6837,M183 ,LYS671,44.3,E14111,3.60E+10,2.15E+05,A20546,B26640,ERS6160132,Yes,B26547,ERS6160442,No
First Screen,Main ,Pl_288,20,SP6838,M184 ,LYS672,59.6,E14112,3.48E+10,3.70E+05,A20547,B26641,ERS6160133,Yes,B26548,ERS6160443,Yes
First Screen,Main ,Pl_288,14,SP6839,M185 ,LYS673,59.3,E14113,1.74E+11,1.08E+06,A20548,B26642,ERS6160134,Yes,B26549,ERS6160444,No
First Screen,Main ,Pl_288,14,SP6840,M186 ,LYS674,59.4,E14114,1.65E+11,9.06E+05,A20549,B26643,ERS6160135,Yes,B26550,ERS6160445,No
First Screen,Main ,Pl_288,14,SP6841,M187 ,LYS675,47.1,E14115,4.94E+11,9.39E+05,A20550,B26644,ERS6160136,Yes,B26551,ERS6160446,No
First Screen,Main ,Pl_288,12.3,SP6842,M188 ,LYS676,47.3,E14116,3.89E+10,9.73E+04,A20551,B26645,ERS6160137,Yes,B26552,ERS6160447,Yes
First Screen,Main ,Pl_288,14,SP6843,M189 ,LYS677,69.4,E14117,1.02E+11,7.24E+05,A20552,B26646,ERS6160138,Yes,B26553,ERS6160448,Yes
First Screen,Main ,Pl_288,14,SP6844,M190 ,LYS678,44.5,E14118,2.96E+11,7.47E+05,A20553,B26647,ERS6160139,Yes,B26554,ERS6160449,No
First Screen,Main ,Pl_288,12.3,SP6845,M191 ,LYS679,45.3,E14119,1.15E+11,6.97E+05,A20554,B26648,ERS6160140,Yes,B26555,ERS6160450,No
First Screen,Main ,Pl_288,12.3,SP6846,M192 ,LYS680,44.1,E14120,1.42E+11,5.82E+05,A20555,B26649,ERS6160141,Yes,B26556,ERS6160451,Yes
First Screen,Main ,Pl_288,12.3,SP6847,M193 ,LYS681,48.7,E14121,5.68E+10,1.63E+05,A20556,B26650,ERS6160142,Yes,B26557,ERS6160452,Yes
First Screen,Main ,Pl_288,12.3,SP6848,M194 ,LYS682,58.5,E14122,1.37E+11,2.99E+05,A20557,B26651,ERS6160143,Yes,B26560,ERS6160453; ERS6161723,Yes
First Screen,Main ,Pl_288,12.2,SP6849,M195 ,LYS683,51.6,E14123,1.13E+11,2.93E+05,A20558,B26652,ERS6160144,Yes,B26561,ERS6160454,No
First Screen,Main ,Pl_288,12.2,SP6850,M196 ,LYS684,70.9,E14124,1.17E+11,2.61E+05,A20559,B26653,ERS6160145,Yes,B26562,ERS6160455;ERS6161675,Yes
First Screen,,Pl_288,,LNC,,,,,4.52E+07,8.13E+05,A20561,B26656,ERS6160146,No,B26563,ERS6160456;ERS6161676,No
First Screen,Main ,Pl_288,12.1,SP6851,M197 ,LYS685,42.8,E14126,3.22E+11,8.95E+05,A20563,B26657,ERS6160147,Yes,B26564,ERS6160457; ERS6161677,No
First Screen,Main ,Pl_288,11.4,SP6852,M198 ,LYS686,59,E14127,4.39E+10,2.87E+05,A20564,B26658,ERS6160148,Yes,B26565,ERS6160458,No
First Screen,Main ,Pl_288,11.4,SP6853,M199 ,LYS687,47,E14128,1.42E+11,6.50E+05,A20565,B26659,ERS6160149,Yes,B26566,ERS6160459,No
First Screen,Main ,Pl_288,11.3,SP6854,M200 ,LYS688,61.4,E14129,8.78E+10,5.15E+05,A20566,B26660,ERS6160150,Yes,B26567,ERS6160460,No
First Screen,Main ,Pl_288,11.3,SP6855,M201 ,LYS689,50.5,E14130,1.21E+11,5.27E+05,A20567,B26661,ERS6160151,Yes,B26568,ERS6160461; ERS6161678,Yes
First Screen,Main ,Pl_288,11.2,SP6856,M202 ,LYS690,55.3,E14131,1.98E+11,5.27E+05,A20568,B26662,ERS6160152,Yes,B26569,ERS6160462; ERS6161679,No
First Screen,Main ,Pl_288,11.2,SP6857,M203 ,LYS691,45.4,E14132,1.20E+11,5.45E+05,A20569,B26663,ERS6160153,Yes,B26570,ERS6160463; ERS6161680,Yes
First Screen,Main ,Pl_288,11.2,SP6858,M204 ,LYS692,53.5,E14133,1.54E+11,5.56E+05,A20570,B26664,ERS6160154,Yes,B26571,ERS6160464,Yes
First Screen,Main ,Pl_288,9,SP6859,M205 ,LYS693,32.7,E14134,1.29E+11,1.15E+06,A20571,B26665,ERS6160155,Yes,B26572,ERS6160465; ERS6161681,No
First Screen,Main ,Pl_288,9,SP6860,M206 ,LYS694,75,E14135,6.29E+10,8.76E+05,A20572,B26666,ERS6160156,Yes,B26573,ERS6160466,No
First Screen,Main ,Pl_288,9,SP6861,M207 ,LYS695,60.9,E14136,1.31E+10,6.77E+05,A20573,B26667,ERS6160157,No,B26574,ERS6160467,No
First Screen,Main ,Pl_288,12.3,SP6862,M208 ,LYS696,58.4,E14137,3.84E+10,8.25E+04,A20574,B26668,ERS6160158,Yes,B26575,ERS6160468,No
First Screen,Main ,Pl_288,12.3,SP6863,M209 ,LYS697,40.7,E14138,6.06E+10,1.72E+05,A20575,B26669,ERS6160159,Yes,B26576,ERS6160469,No
First Screen,Main ,Pl_288,12.2,SP6864,M210 ,LYS698,43.9,E14139,9.14E+10,6.41E+05,A20576,B26670,ERS6160160,Yes,B26577,ERS6160470,Yes
First Screen,Main ,Pl_288,12.2,SP6865,M211 ,LYS699,56.1,E14140,1.54E+11,5.84E+05,A20577,B26671,ERS6160161,Yes,B26578,ERS6160471,Yes
First Screen,Main ,Pl_288,12.1,SP6866,M212 ,LYS700,54.5,E14141,2.35E+11,6.45E+05,A20578,B26672,ERS6160162,Yes,B26579,ERS6160472,Yes
First Screen,Main ,Pl_288,11.4,SP6867,M213 ,LYS701,54.6,E14142,3.80E+10,2.92E+05,A20579,B26673,ERS6160163,Yes,B26580,ERS6160473,No
First Screen,Main ,Pl_288,11.4,SP6868,M214 ,LYS702,80.1,E14143,6.79E+10,3.46E+05,A20580,B26674,ERS6160164,Yes,B26581,ERS6160474,Yes
First Screen,Main ,Pl_288,11.3,SP6869,M215 ,LYS703,69.4,E14144,1.27E+11,5.74E+05,A20581,B26675,ERS6160165,Yes,B26582,ERS6160475,No
First Screen,Main ,Pl_288,11.3,SP6870,M216 ,LYS704,46.3,E14145,1.44E+11,6.78E+05,A20582,B26676,ERS6160166,Yes,B26583,ERS6160476; ERS6161682,No
First Screen,Main ,Pl_288,11.3,SP6871,M217 ,LYS705,49,E14146,3.24E+11,8.55E+05,A20583,B26677,ERS6160167,Yes,B26584,ERS6160477; ERS6161683,No
First Screen,Main ,Pl_288,11.2,SP6872,M218 ,LYS706,57.3,E14147,2.60E+11,9.41E+05,A20584,B26678,ERS6160168,Yes,B26585,ERS6160478,Yes
First Screen,,Pl_288,,LNC,,,,,7.79E+07,1.06E+06,A20586,B26679,ERS6160169,No,B26586,ERS6160479; ERS6161492,No
First Screen,Main ,Pl_288,11.2,SP6873,M219 ,LYS707,55.7,E14149,2.18E+11,7.08E+05,A20589,B26680,ERS6160170,Yes,B26587,ERS6160480; ERS6161684,Yes
First Screen,Main ,Pl_288,9,SP6874,M220 ,LYS708,59.5,E14150,7.33E+10,6.43E+05,A20590,B26681,ERS6160171,Yes,B26588,ERS6160481,No
First Screen,Main ,Pl_288,9,SP6875,M221 ,LYS709,53.6,E14151,3.71E+10,5.20E+05,A20591,B26682,ERS6160172,Yes,B26589,ERS6160482,No
First Screen,Main ,Pl_288,14,SP6876,M222 ,LYS710,60.9,E14152,3.42E+10,3.39E+05,A20592,B26683,ERS6160173,Yes,B26590,ERS6160483,No
First Screen,Main ,Pl_288,12.3,SP6877,M223 ,LYS711,58.2,E14153,2.96E+11,5.59E+05,A20593,B26684,ERS6160174,Yes,B26591,ERS6160484,No
First Screen,Main ,Pl_288,12.2,SP6878,M224 ,LYS712,74.1,E14154,1.19E+11,6.18E+05,A20594,B26685,ERS6160175,Yes,B26592,ERS6160485,No
First Screen,Main ,Pl_288,12.2,SP6879,M225 ,LYS713,69.7,E14155,2.06E+11,5.49E+05,A20595,B26686,ERS6160176,Yes,B26593,ERS6160486; ERS6161685,No
First Screen,Main ,Pl_288,11.4,SP6880,M226 ,LYS714,65,E14156,8.00E+10,6.63E+05,A20596,B26687,ERS6160177,Yes,B26594,ERS6160487,No
First Screen,Main ,Pl_288,11.4,SP6881,M227 ,LYS715,63.1,E14157,3.49E+10,2.44E+05,A20597,B26688,ERS6160178,Yes,B26595,ERS6160488,No
First Screen,,Pl_288,,ENC,,,,E14158,7.93E+07,1.06E+06,A20598,B26689,ERS6160179,No,B26599,ERS6160489,No
First Screen,,Pl_288,,ENC,,,,E14159,7.59E+07,1.13E+06,A20599,B26690,ERS6160180,No,B26600,ERS6160490,No
First Screen,,Pl_288,,ENC,,,,E14160,6.59E+07,9.08E+05,A20600,B26691,ERS6160181,No,B26601,ERS6160491,No
First Screen,,Pl_288,,LNC,,,,,7.32E+07,1.00E+06,A20601,B26694,ERS6160182,No,B26602,ERS6160492,No
First Screen,,Pl_288,,ENC,,,,E14162,6.62E+07,8.02E+05,A20604,B26695,ERS6160183,No,B26603,ERS6160493,No
First Screen,Main ,Pl_288,11.3,SP6882,M228 ,LYS716,58,E14163,1.80E+11,6.60E+05,A20605,B26696,ERS6160184,Yes,B26604,ERS6160494,No
First Screen,Main ,Pl_288,11.2,SP6883,M229 ,LYS717,49.2,E14164,9.63E+10,6.32E+05,A20606,B26697,ERS6160185,Yes,B26605,ERS6160495,Yes
First Screen,Main ,Pl_288,11.2,SP6884,M230 ,LYS718,55.7,E14165,1.22E+11,6.16E+05,A20607,B26698,ERS6160186,Yes,B26606,ERS6160496,Yes
First Screen,Main ,Pl_288,11.2,SP6885,M231 ,LYS719,56.4,E14166,1.96E+11,6.93E+05,A20608,B26699,ERS6160187,Yes,B26607,ERS6160497,Yes
First Screen,Main ,Pl_288,11.2,SP6886,M232 ,LYS720,60.6,E14167,1.95E+11,4.16E+05,A20609,B26700,ERS6160188,Yes,B26608,ERS6160498,Yes
First Screen,Main ,Pl_289,11+9,SP6887,M233 ,LYS721,67.8,E14168,9.92E+10,5.46E+05,A20994,B24959,ERS6160189,Yes,B25704,ERS6160671; ERS6161688,Yes
First Screen,Main ,Pl_289,9,SP6888,M234 ,LYS722,46.2,E14169,8.28E+10,6.15E+05,A20995,B24960,ERS6160190,Yes,B25705,ERS6160672,No
