RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7049	238126	236214	131093	743	0.08993	49.4	f	8502	Carnivora	Hyaenidae	Crocuta_crocuta	best	8326	0.9792	5236	1.5901	4567	5140	4501	40.38	++	976	1480	47.9 (45.3,50.6)	28.6 (26.2,31.1)	59.6 (49.3,69.3)	32.6 (25.8,39.9)	53.7	55.0	16.4	0.266	0.999	0.266
Cap.E.7049	238126	236214	131093	9	0.001742	10.1	f	320	Rodentia	Muridae	Rattus_andamanensis	best	150	0.4687	106	1.4150	672	106	672	0.83	++	33	48	64.7 (46.5,80.3)	38.7 (21.8,57.8)	33.3 (0.8,90.6)	20.0 (0.5,71.6)	45.7	43.6	0.29	0.041	0.23	0.178
Cap.E.7049	238126	236214	131093	95	0.01668	3.06	f	327	Carnivora	Ursidae	Ursus_spelaeus	best	272	0.8318	192	1.4166	1710	180	1590	1.41	++	34	55	30.6 (16.3,48.1)	45.3 (31.6,59.6)	25.0 (0.6,80.6)	20.0 (0.5,71.6)	50.8	49.1	0.57	0.101	0.399	0.254
Cap.E.7050	295370	292998	187490	10	0.001918	1.0	f	433	Chiroptera	Pteropodidae	Rousettus_obliviosus	best	227	0.5242	186	1.2204	521	181	512	0.76	+	16	28	25.6 (13.0,42.1)	12.8 (4.8,25.7)	0.0 (0.0,84.2)	0.0 (0.0,84.2)	53.4	50.1	0.59	0.031	0.41	0.076
Cap.E.7050	295370	292998	187490	11	0.001398	9.82	f	409	Primates	Cercopithecidae	Macaca_sylvanus	best	186	0.4547	176	1.0568	627	173	615	0.73	++	25	62	30.0 (16.6,46.5)	33.3 (19.1,50.2)	0.0 (0.0,70.8)	0.0 (0.0,52.2)	52.1	52.6	0.55	0.037	0.386	0.097
Cap.E.7050	295370	292998	187490	1423	0.1722	61.2	f	18516	Carnivora	Hyaenidae	Crocuta_crocuta	best	18168	0.9812	11679	1.5556	6708	11483	6629	48.57	++	1714	2585	39.7 (37.8,41.5)	26.2 (24.5,27.9)	41.5 (34.0,49.3)	25.8 (20.7,31.4)	59.5	61.9	40.56	0.391	0.999	0.391
Cap.E.7050	295370	292998	187490	15	0.002634	5.67	f	211	Carnivora	Ursidae	Ursus_spelaeus	best	104	0.4928	91	1.1428	771	90	727	0.38	+	14	30	22.2 (6.4,47.6)	47.6 (25.7,70.2)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	47.5	46.1	0.25	0.045	0.203	0.225
Cap.E.7050	295370	292998	187490	16	0.002377	6.06	f	183	Eulipotyphla	Soricidae	Sorex_sinalis	best	74	0.4043	57	1.2982	512	57	512	0.24	+	12	21	61.1 (35.7,82.7)	22.2 (2.8,60.0)	100.0 (2.5,100.0)	25.0 (0.6,80.6)	45.7	43.7	0.15	0.029	0.124	0.237
Cap.E.7050	295370	292998	187490	17	0.01458	1.71	f	92	Proboscidea	Elephantidae	Mammuthus_primigenius	best	63	0.6847	61	1.0327	795	61	795	0.25	+	12	13	71.4 (41.9,91.6)	13.3 (1.7,40.5)	N/A (N/A,N/A)	0.0 (0.0,52.2)	46.9	51.0	0.17	0.047	0.139	0.339
Cap.E.7050	295370	292998	187490	19	0.001898	11.4	f	138	Rodentia	Spalacidae	Rhizomys_sumatrensis	best	31	0.2246	27	1.1481	275	27	275	0.11	-	3	4	28.6 (3.7,71.0)	50.0 (1.3,98.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.3	49.8	0.07	0.016	0.059	0.274
